Year,Total,Total_Male,Total_Female,White_Total,Black_Total,Hispanic_Total,API_Total,AIAN_Total,Other_notAIAN_Total
2017,14,8,6,8,,,,,
2017,21,12,9,11,,,,,5
2017,34,10,24,26,,,,,
2017,33,24,9,21,,,,,
2017,22,10,13,18,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,12,5,7,8,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,52,31,21,34,,,,,
2017,8,,5,7,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,18,7,11,13,,,,,
2017,19,12,7,13,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,5,,,5,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,7,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,7,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,27,13,14,14,,8,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,14,7,7,7,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,9,5,5,5,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,9,5,,5,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,5,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,9,5,,5,,,,,
2017,14,7,7,7,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,5,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,10,5,5,5,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
2017,,,,,,,,,
