Year,Total,Total_Male,Total_Female,White_Total,Black_Total,Hispanic_Total,API_Total,AIAN_Total,Other_notAIAN_Total
2012,33,15,18,31,,,,,
2012,32,13,19,24,,,5,,
2012,49,24,25,45,,,,,
2012,63,25,38,52,,,7,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,29,12,17,27,,,,,
2012,33,12,21,32,,,,,
2012,48,22,26,44,,,,,
2012,44,24,21,40,,,,,
2012,,,,,,,,,
2012,69,24,44,64,,,,,
2012,30,11,19,22,,,,,
2012,265,113,152,241,,10,12,,
2012,,,,,,,,,
2012,83,40,43,77,,5,,,
2012,17,10,7,16,,,,,
2012,67,25,42,60,,,5,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,36,15,21,32,,,,,
2012,20,9,11,18,,,,,
2012,28,11,17,26,,,,,
2012,11,,7,11,,,,,
2012,142,57,85,77,,48,14,,
2012,42,17,25,26,,12,,,
2012,,,,,,,,,
2012,7,,5,7,,,,,
2012,23,14,10,9,,10,,,
2012,32,11,22,10,,18,5,,
2012,31,12,20,21,,7,,,
2012,167,69,98,88,7,57,14,,
2012,326,131,194,276,,35,6,,
2012,288,116,173,258,,13,15,,
2012,213,83,130,170,8,20,14,,
2012,198,93,105,175,,11,6,,
2012,45,19,26,40,,,,,
2012,68,27,41,43,,18,6,,
2012,7,,5,7,,,,,
2012,,,,,,,,,
2012,48,20,28,41,,6,,,
2012,48,14,34,46,,,,,
2012,78,38,40,72,,,,,
2012,5,,,,,,,,
2012,46,17,29,40,,,,,
2012,14,6,8,9,,,,,
2012,,,,,,,,,
2012,23,14,10,9,,10,,,
2012,49,27,22,45,,,,,
2012,22,8,14,20,,,,,
2012,445,177,268,346,15,51,30,,
2012,22,8,14,20,,,,,
2012,24,8,16,21,,,,,
2012,9,,5,7,,,,,
2012,27,10,17,20,,,,,
2012,208,91,117,175,,20,7,,
2012,608,275,333,428,30,94,28,,24
2012,78,38,40,42,14,14,6,,
2012,27,17,11,18,,,,,
2012,37,16,21,22,,7,,,
2012,16,6,10,,7,,,,
2012,111,50,61,84,5,9,,,7
2012,,,,,,,,,
2012,34,23,12,26,,,,,
2012,,,,,,,,,
2012,38,25,13,28,,,,,
2012,,,,,,,,,
2012,26,,22,22,,,,,
2012,,,,,,,,,
2012,8,6,,7,,,,,
2012,5,,,,,,,,
2012,,,,,,,,,
2012,12,6,6,11,,,,,
2012,,,,,,,,,
2012,13,,9,8,,,,,
2012,87,46,41,67,,5,8,,
2012,10,5,,10,,,,,
2012,11,,9,7,,,,,
2012,20,10,10,16,,,,,
2012,27,16,11,16,,,,,
2012,,,,,,,,,
2012,9,5,,8,,,,,
2012,10,6,,10,,,,,
2012,115,53,62,95,,8,5,,
2012,28,14,14,22,,,,,
2012,42,19,23,33,,,,,
2012,,,,,,,,,
2012,16,8,8,14,,,,,
2012,28,12,16,24,,,,,
2012,123,39,84,100,,15,,,5
2012,,,,,,,,,
2012,50,18,32,42,,6,,,
2012,7,,,6,,,,,
2012,17,,15,13,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
